<ticker>,<name>,<date>,<per>,<open>,<high>,<low>,<close>,<vol>,<o/i>
PST.MI,????,05/07/2019,D,9.370000,9.438000,9.350000,9.384000,540910,0
RACE.MI,????,05/07/2019,D,116.699997,119.400002,113.050003,118.849998,116261,0
RACE,????,05/06/2019,D,130.250000,133.130005,129.460007,132.330002,342946,0
PRY.MI,????,05/07/2019,D,16.900000,17.090000,16.645000,17.025000,456230,0
SFER.MI,????,05/07/2019,D,19.205000,19.320000,19.155001,19.235001,84450,0
SPM.MI,????,05/07/2019,D,4.241000,4.317000,4.270000,4.281000,1759183,0
SRG.MI,????,05/07/2019,D,4.430000,4.528000,4.423000,4.507000,1253285,0
STM.MI,????,05/07/2019,D,15.860000,15.835000,15.595000,15.800000,1175861,0
TEN.MI,????,05/07/2019,D,11.900000,12.135000,12.020000,12.040000,585058,0
TIT.MI,????,05/07/2019,D,0.494200,0.497800,0.492800,0.493300,21885001,0
TOD.MI,????,05/07/2019,D,43.700001,43.400002,43.000000,43.360001,15763,0
TRN.MI,????,05/07/2019,D,5.388000,5.432000,5.384000,5.422000,1212230,0
UBI.MI,????,05/07/2019,D,2.636000,2.694000,2.649000,2.661000,1267929,0
UCG.MI,????,05/07/2019,D,11.874000,11.894000,11.692000,11.742000,5595246,0
US.MI,????,05/07/2019,D,2.420000,2.426000,2.397000,2.413000,598985,0
MN.MI,????,05/07/2019,D,1.656000,1.656000,1.628000,1.632000,101691,0
DIA.MI,????,05/07/2019,D,87.449997,89.599998,87.449997,89.599998,39421,0
STM,????,05/06/2019,D,17.459999,17.610001,17.360001,17.540001,3071162,0
TS,????,05/06/2019,D,26.650000,27.355000,26.629999,27.170000,1913162,0
E,????,05/06/2019,D,33.029999,33.410000,33.029999,33.299999,106646,0
TI,????,05/06/2019,D,5.460000,5.490000,5.430000,5.450000,222706,0
MLM.MI,????,05/07/2019,D,0.409000,0.414500,0.395000,0.411000,421291,0
MTV.MI,????,05/07/2019,D,1.300000,1.328000,1.300000,1.305000,138724,0
ETH.MI,????,05/07/2019,D,3.680000,3.725000,3.655000,3.670000,32395,0
IRE.MI,????,05/07/2019,D,2.094000,2.098000,2.084000,2.088000,261631,0
HER.MI,????,05/07/2019,D,3.132000,3.170000,3.144000,3.154000,515280,0
IGD.MI,????,05/07/2019,D,6.700000,6.880000,6.660000,6.870000,167567,0
CASS.MI,????,05/07/2019,D,8.125000,8.160000,8.070000,8.090000,133824,0
SRS.MI,????,05/07/2019,D,1.553000,1.553000,1.520000,1.521000,1647777,0
AMP.MI,????,05/07/2019,D,17.010000,17.230000,16.870001,17.129999,177466,0
AST.MI,????,05/07/2019,D,0.692500,0.704500,0.692500,0.699000,236638,0
IP.MI,????,05/07/2019,D,32.599998,32.840000,31.540001,32.660000,67111,0
LR.MI,????,05/07/2019,D,1.172000,1.182000,1.162000,1.162000,14215,0
CAI.MI,????,05/07/2019,D,3.610000,3.575000,3.500000,3.510000,77739,0
CIR.MI,????,05/07/2019,D,1.072000,1.072000,1.050000,1.050000,60846,0
BPSO.MI,????,05/07/2019,D,2.378000,2.378000,2.352000,2.360000,100945,0
CVAL.MI,????,05/07/2019,D,0.070700,0.071200,0.069700,0.070000,1359086,0
MEC.MI,????,05/06/2019,D,0.041200,0.041600,0.041000,0.041600,362727,0
DIS.MI,????,05/07/2019,D,0.090200,0.090500,0.089600,0.090500,94385,0
DIB.MI,????,05/07/2019,D,6.340000,6.420000,6.340000,6.390000,2720,0
FKR.MI,????,05/07/2019,D,3.150000,3.240000,3.058000,3.228000,268904,0
BRE.MI,????,05/07/2019,D,11.120000,11.330000,11.110000,11.300000,257651,0
BGN.MI,????,05/07/2019,D,25.000000,24.959999,24.400000,24.840000,114171,0
REC.MI,????,05/07/2019,D,35.279999,36.250000,35.279999,36.049999,64460,0
GEO.MI,????,05/07/2019,D,1.600000,1.600000,1.578000,1.596000,50368,0
FNM.MI,????,05/07/2019,D,0.518000,0.512000,0.505000,0.512000,7613,0
IF.MI,????,05/07/2019,D,14.770000,14.800000,14.220000,14.260000,76776,0
BST.MI,????,05/07/2019,D,1.560000,1.588000,1.544000,1.552000,220200,0
IMA.MI,????,05/07/2019,D,73.800003,75.000000,73.800003,74.599998,12344,0
SAL.MI,????,05/07/2019,D,1.866000,1.856000,1.827000,1.833000,117735,0
PIA.MI,????,05/07/2019,D,2.406000,2.480000,2.384000,2.446000,340336,0
TITR.MI,????,05/07/2019,D,0.460700,0.464100,0.458200,0.460500,4846030,0
